tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue,saga_position
tt0112471,movie,Before Sunrise,1995,101,"Comedy,Drama,Romance",8.1,380037,en,True,2500000.0,5987386.0,1.0
tt0112541,movie,Blue in the Face,1995,83,Comedy,6.6,10615,en,True,2000000.0,1300000.0,2.0
tt0112572,movie,The Brady Bunch Movie,1995,90,Comedy,6.3,26343,en,True,12000000.0,46576136.0,1.0
tt0112573,movie,Braveheart,1995,178,"Drama,War",8.3,1164664,en,True,72000000.0,213216216.0,1.0
tt0112625,movie,Candyman: Farewell to the Flesh,1995,95,"Horror,Thriller",5.3,15766,en,True,0.0,13940383.0,2.0
tt0112642,movie,Casper,1995,100,"Comedy,Family,Fantasy",6.2,160053,en,True,50000000.0,287928194.0,1.0
tt0112851,movie,Desperado,1995,104,"Action,Crime,Drama",7.1,208946,en,True,7000000.0,25405445.0,2.0
tt0112864,movie,Die Hard with a Vengeance,1995,128,"Action,Adventure,Thriller",7.6,431387,en,True,90000000.0,366101666.0,3.0
tt0113041,movie,Father of the Bride Part II,1995,106,"Comedy,Family,Romance",6.1,45506,en,True,0.0,76594107.0,2.0
tt0113114,movie,Free Willy 2: The Adventure Home,1995,95,"Adventure,Drama,Family",5.1,20775,en,True,31000000.0,30077111.0,2.0
tt0113118,movie,Friday,1995,91,"Comedy,Drama",7.2,137748,en,True,3500000.0,28215918.0,1.0
tt0113161,movie,Get Shorty,1995,105,"Comedy,Crime,Thriller",6.9,96569,en,True,30250000.0,115101622.0,1.0
tt0113189,movie,GoldenEye,1995,130,"Action,Adventure,Thriller",7.2,287295,en,True,60000000.0,352194034.0,18.0
tt0113198,movie,A Goofy Movie,1995,78,"Adventure,Animation,Comedy",7.0,70121,en,True,18000000.0,35348597.0,1.0
tt0113228,movie,Grumpier Old Men,1995,101,"Comedy,Romance",6.7,31765,en,True,25000000.0,71518503.0,2.0
tt0113253,movie,Halloween: The Curse of Michael Myers,1995,87,"Horror,Thriller",4.7,46836,en,True,5000000.0,15116634.0,6.0
