tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0026174,movie,Captain Blood,1935,119,"Action,Adventure,History",7.7,17415
tt0026752,movie,Mutiny on the Bounty,1935,132,"Adventure,Biography,Drama",7.6,26779
tt0026778,movie,A Night at the Opera,1935,96,"Comedy,Music,Musical",7.8,36574
tt0027125,movie,Top Hat,1935,101,"Comedy,Musical,Romance",7.7,22227
tt0027260,movie,After the Thin Man,1936,112,"Comedy,Crime,Mystery",7.6,13213
tt0027532,movie,Dodsworth,1936,101,"Drama,Romance",7.7,11153
tt0027652,movie,Fury,1936,92,"Crime,Drama,Film-Noir",7.8,14802
tt0027977,movie,Modern Times,1936,87,"Comedy,Drama,Romance",8.5,285991
tt0027996,movie,Mr. Deeds Goes to Town,1936,115,"Comedy,Drama,Romance",7.8,25073
tt0028010,movie,My Man Godfrey,1936,94,"Comedy,Drama,Romance",7.9,28746
tt0028096,movie,The Petrified Forest,1936,82,"Drama,Thriller",7.5,15977
tt0028212,movie,Sabotage,1936,76,"Crime,Thriller",7.0,20802
tt0028333,movie,Swing Time,1936,103,"Comedy,Musical,Romance",7.4,15633
tt0028358,movie,Things to Come,1936,100,"Drama,Sci-Fi,War",6.6,10207
tt0028597,movie,The Awful Truth,1937,90,"Comedy,Romance",7.6,23377
tt0028691,movie,Captains Courageous,1937,117,"Adventure,Drama,Family",7.9,12012
tt0028772,movie,A Day at the Races,1937,111,"Comedy,Family,Musical",7.5,15402
tt0028950,movie,Grand Illusion,1937,113,"Drama,War",8.0,41171
tt0029146,movie,The Life of Emile Zola,1937,116,"Biography,Drama",7.1,10052
tt0029162,movie,Lost Horizon,1937,132,"Adventure,Drama,Fantasy",7.6,15779
tt0029192,movie,Make Way for Tomorrow,1937,91,"Drama,Romance",8.1,10673
tt0029284,movie,My Favorite Wife,1940,88,"Comedy,Romance",7.2,12653
tt0029583,movie,Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",7.6,238567
tt0029606,movie,A Star Is Born,1937,111,"Drama,Romance",7.3,11932
tt0029811,movie,Young and Innocent,1937,83,"Crime,Drama,Mystery",6.8,12139
tt0029843,movie,The Adventures of Robin Hood,1938,102,"Action,Adventure,Romance",7.9,57838
tt0029850,movie,Alexander Nevsky,1938,112,"Action,Biography,Drama",7.4,13220
tt0029870,movie,Angels with Dirty Faces,1938,97,"Crime,Drama,Film-Noir",7.8,24918
tt0029947,movie,Bringing Up Baby,1938,102,Comedy,7.8,69379
tt0029992,movie,A Christmas Carol,1938,69,"Drama,Family,Fantasy",7.5,10016
tt0030241,movie,Holiday,1938,95,"Comedy,Romance",7.7,20248
tt0030287,movie,Jezebel,1938,104,"Drama,Romance",7.4,16493
tt0030341,movie,The Lady Vanishes,1938,96,"Crime,Drama,Mystery",7.7,61575
tt0030637,movie,Pygmalion,1938,89,"Comedy,Drama,Romance",7.7,10526
tt0030643,movie,Port of Shadows,1938,91,"Crime,Drama,Romance",7.7,10895
tt0030993,movie,You Can't Take It with You,1938,126,"Comedy,Drama,Romance",7.8,30463
tt0031210,movie,Dark Victory,1939,104,"Drama,Romance",7.4,13505
tt0031225,movie,Destry Rides Again,1939,95,"Comedy,Western",7.6,13551
tt0031381,movie,Gone with the Wind,1939,238,"Drama,Romance,War",8.2,356492
tt0031385,movie,"Goodbye, Mr. Chips",1939,114,"Drama,Romance",7.9,12388
tt0031398,movie,Gunga Din,1939,117,"Adventure,Comedy,War",7.2,13635
tt0031448,movie,The Hound of the Baskervilles,1939,80,"Crime,Mystery,Thriller",7.4,12982
tt0031455,movie,The Hunchback of Notre Dame,1939,116,"Drama,Romance",7.8,13363
tt0031505,movie,Jamaica Inn,1939,98,"Adventure,Crime,Drama",6.3,12310
tt0031679,movie,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,129783
tt0031725,movie,Ninotchka,1939,110,"Comedy,Romance",7.8,24949
