tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt5155780,movie,The Discovery,2017,102,"Drama,Romance,Sci-Fi",6.2,40691,en,False,5000000.0,0.0
tt5159414,movie,Escape Room,2017,81,"Horror,Thriller",4.2,15421,en,False,0.0,1870824.0
tt5160938,movie,Lizzie,2018,105,"Biography,Crime,Drama",5.9,10483,en,False,0.0,844786.0
tt5164184,movie,In Darkness,2018,110,"Mystery,Thriller",5.8,15481,en,False,0.0,217427.0
tt5164214,movie,Ocean's Eight,2018,110,"Comedy,Crime,Thriller",6.3,262418,en,False,70000000.0,297718711.0
tt5164432,movie,"Love, Simon",2018,110,"Comedy,Drama,Romance",7.5,134999,en,False,17000000.0,66316289.0
tt5164438,movie,The Starling,2021,102,"Comedy,Drama",6.4,17286,en,False,0.0,0.0
tt5165344,movie,Rustom,2016,148,"Crime,Drama,Thriller",7.0,31528,hi,False,6114349.0,26309214.0
tt5168192,movie,"I, Daniel Blake",2016,100,Drama,7.8,68556,en,False,0.0,15793051.0
tt5173032,movie,Buster's Mal Heart,2016,96,"Crime,Drama,Mystery",6.1,12154,en,False,0.0,73121.0
tt5175450,movie,Mark Felt: The Man Who Brought Down the White House,2017,103,"Biography,Drama,History",6.4,16086,en,False,0.0,4372130.0
tt5177088,movie,The Girl in the Spider's Web,2018,115,"Action,Adventure,Crime",6.1,55672,en,True,43000000.0,35164920.0
tt5177114,movie,Young Woman and the Sea,2024,129,"Biography,Drama,Romance",7.5,20258,en,False,40000000.0,581725.0
tt5177120,movie,The Ministry of Ungentlemanly Warfare,2024,122,"Action,Comedy,War",6.8,162165,en,False,60000000.0,29768915.0
tt5179598,movie,Billionaire Boys Club,2018,108,"Biography,Drama,Thriller",5.6,16028,en,False,0.0,0.0
tt5181830,movie,Wendell & Wild,2022,105,"Adventure,Animation,Comedy",6.4,15015,en,False,0.0,0.0
tt5186714,movie,The Salesman,2016,124,"Drama,Thriller",7.7,69021,fa,False,0.0,6953604.0
tt5195412,movie,Wakefield,2016,106,Drama,6.3,19353,en,False,0.0,798214.0
tt5198068,movie,Wolfwalkers,2020,103,"Action,Adventure,Animation",8.0,45497,en,False,12000000.0,1310720.0
tt5198890,movie,Eileen,2023,97,"Drama,Mystery,Romance",5.9,20635,en,False,16000000.0,1560142.0
tt5206260,movie,The Willoughbys,2020,90,"Adventure,Animation,Comedy",6.4,23635,en,False,0.0,0.0
tt5207158,movie,South Wind,2018,130,"Crime,Drama,Thriller",7.8,13221,sr,True,0.0,0.0
tt5208216,movie,Wonderstruck,2017,116,"Adventure,Drama,Mystery",6.2,11565,en,False,7000000.0,1947099.0
tt5208252,movie,Operation Finale,2018,122,"Biography,Drama,History",6.6,54461,en,False,24000000.0,17506878.0
tt5213534,movie,Oasis: Supersonic,2016,122,"Biography,Documentary,Music",7.8,13949,en,False,0.0,226286.0
tt5215088,movie,A.I. Rising,2018,85,"Drama,Romance,Sci-Fi",4.9,10933,en,False,395168.0,0.0
tt5215952,movie,The Wailing,2016,156,"Drama,Horror",7.4,100259,ko,False,10951000.0,49851770.0
tt5220122,movie,Hotel Transylvania 3: Summer Vacation,2018,97,"Adventure,Animation,Comedy",6.3,100634,en,True,80000000.0,528600000.0
tt5221584,movie,Aquarius,2016,146,Drama,7.4,22201,pt,False,762241.0,285930.0
tt5221894,movie,The Other Me,2016,101,"Crime,Drama,Mystery",7.9,14246,el,False,0.0,371528.0
